iata_code,country,latitude,longitude
57C,United States,42.7971667,-88.3726111
5B2,United States,43.050722,-73.861638
60J,United States,33.9085056,-78.4366722
6A2,United States,33.2269722,-84.2749444
6J4,United States,33.5561,-81.4768
6K8,United States,63.329444,-142.953611
6S0,United States,45.8063889,-109.9811111
6S2,United States,43.9828168,-124.1113687
6Y8,United States,45.721111,-85.520278
70J,United States,30.8879767,-84.1547353
70N,United States,41.3473569,-75.4158972
7A4,United States,42.4664444,-90.1693889
7D9,United States,41.7778322,-80.9039797
7N7,United States,39.7355633,-75.3977211
8M8,United States,44.8065278,-84.2761944
93C,United States,43.2833575,-90.2982819
99N,United States,33.3045278,-81.1084167
9A1,United States,33.6323083,-83.8474472
9A5,United States,34.6884792,-85.2903319
9G1,United States,40.6035463,-79.8261189
A39,United States,32.99169922,-111.9209976
A50,United States,38.87,-104.41
AAA,French Polynesia,-17.3526001,-145.5099945
AAC,Egypt,31.07329941,33.83580017
AAE,Algeria,36.822201,7.809174
AAF,United States,29.72750092,-85.02749634
AAH,Germany,50.82305527,6.186388969
AAJ,Suriname,3.898611,-55.577778
AAK,Kiribati,0.1852779984,173.6369934
AAL,Denmark,57.09275891,9.849243164
AAM,South Africa,-24.81809998,31.54459953
AAN,United Arab Emirates,24.26169968,55.60919952
AAO,Venezuela,9.430225372,-64.47072601
AAP,United States,29.72249985,-95.58830261
AAQ,Russia,45.0021019,37.34730148
AAR,Denmark,56.29999924,10.61900043
AAT,China,47.74988556,88.0858078
AAV,Philippines,6.366819859,124.7509995
AAX,Brazil,-19.5632,-46.96039963
AAY,Yemen,16.19169998,52.17499924
AAZ,Guatemala,14.8656,-91.501999
ABA,Russia,53.74000168,91.38500214
ABB,Nigeria,6.204167,6.665278
ABC,Spain,38.94850159,-1.863520026
ABD,Iran,30.37109947,48.22829819
ABE,United States,40.65209961,-75.44080353
ABF,Kiribati,1.798609972,173.0410004
ABH,Australia,-23.646099,146.584
ABI,United States,32.41130066,-99.68190002
ABJ,Cote d'Ivoire,5.261390209,-3.926290035
ABK,Ethiopia,6.734,44.252998
ABL,United States,67.1063,-157.856989
ABM,Australia,-10.9508,142.459
ABN,Suriname,5.512720108,-54.05009842
ABQ,United States,35.040199,-106.609001
ABR,United States,45.44910049,-98.42179871
ABS,Egypt,22.37599945,31.61170006
ABT,Saudi Arabia,20.29610062,41.63430023
ABV,Nigeria,9.006790161,7.263169765
ABX,Australia,-36.06779861,146.9579926
ABY,United States,31.53549957,-84.19450378
ABZ,United Kingdom,57.20190048,-2.197779894
ACA,Mexico,16.75709915,-99.7539978
ACC,Ghana,5.6051898,-0.1667860001
ACD,Colombia,8.51667,-77.3
ACE,Spain,28.945499,-13.6052
ACF,Australia,-27.57029915,153.0079956
ACH,Switzerland,47.48500061,9.560770035
ACI,Guernsey,49.706104,-2.21472
ACJ,United States,32.0665,-84.1133
ACK,United States,41.25310135,-70.06020355
ACN,Mexico,29.332899,-101.098998
ACP,Iran,37.34799957,46.12789917
ACR,Colombia,-0.5833,-72.4083
ACS,Russia,56.2682991,90.57080078
ACT,United States,31.61129951,-97.23049927
ACV,United States,40.978101,-124.109
ACX,China,25.08638889,104.9594444
ACY,United States,39.45759964,-74.57720184
ACZ,Iran,31.09830093,61.54389954
ADA,Turkey,36.98220062,35.28039932
ADB,Turkey,38.29240036,27.15699959
ADD,Ethiopia,8.977890015,38.79930115
ADE,Yemen,12.8295002,45.02880096
ADF,Turkey,37.73139954,38.46889877
ADH,Russia,58.60279846,125.4089966
ADI,Namibia,-22.46220016,14.97999954
ADJ,Jordan,31.97270012,35.99160004
ADK,United States,51.87799835,-176.6459961
ADL,Australia,-34.945,138.531006
ADM,United States,34.30301,-97.0196342
ADP,Sri Lanka,7.33776,81.62594
ADQ,United States,57.75,-152.4940033
ADS,United States,32.96860123,-96.83640289
ADT,United States,34.804298,-96.671303
ADU,Iran,38.32569885,48.42440033
ADW,United States,38.810799,-76.866997
ADX,United Kingdom,56.3728981,-2.868439913
ADY,South Africa,-22.67900085,29.05550003
ADZ,Colombia,12.5836,-81.7112
AEA,Kiribati,0.4908330142,173.8289948
AEB,China,23.72060013,106.9599991
AEG,Indonesia,1.4001,99.430496
AEH,Chad,13.84700012,20.84429932
AEI,Spain,36.12888,-5.441118
AEO,Mauritania,16.7112999,-9.637880325
AEP,Argentina,-34.5592,-58.4156
AER,Russia,43.449902,39.9566
AES,Norway,62.5625,6.119699955
AET,United States,66.55180359,-152.621994
AEU,Iran,25.8757,55.033001
AEX,United States,31.32740021,-92.54979706
AEY,Iceland,65.66000366,-18.0727005
AFA,Argentina,-34.588299,-68.4039
AFL,Brazil,-9.866389275,-56.10499954
AFS,Uzbekistan,41.61389923,64.23320007
AFT,Solomon Islands,-9.191388889,160.9486111
AFW,United States,32.98759842,-97.31880188
AFY,Turkey,38.72639847,30.60110092
AFZ,Iran,36.16809845,57.59519958
AGA,Morocco,30.32500076,-9.413069725
AGB,Germany,48.425278,10.931667
AGC,United States,40.35440063,-79.93019867
AGE,Germany,53.78277969,7.913888931
AGF,France,44.17470169,0.5905560255
AGH,Sweden,56.29610062,12.84710026
AGI,Suriname,5.841128,-56.673328
AGJ,Japan,26.59250069,127.2409973
AGN,United States,57.503601,-134.585007
AGP,Spain,36.67490005,-4.499110222
AGQ,Greece,38.602001,21.3512001
AGR,India,27.15579987,77.96089935
AGS,United States,33.36989975,-81.96450043
AGT,Paraguay,-25.454516,-54.842682
AGU,Mexico,21.705601,-102.318001
AGV,Venezuela,9.553375244,-69.23786926
AGX,India,10.82369995,72.1760025
AGZ,South Africa,-29.28179932,18.81389999
AHB,Saudi Arabia,18.24040031,42.65660095
AHE,French Polynesia,-14.42809963,-146.2570038
AHJ,China,32.53154,102.35224
AHN,United States,33.94860077,-83.32630157
AHO,Italy,40.632099,8.29077
AHS,Honduras,15.4722,-84.352203
AHU,Morocco,35.17710114,-3.839519978
AIA,United States,42.05319977,-102.8040009
AID,United States,40.10860062,-85.61299896
AIK,United States,33.649399,-81.684998
AIN,United States,70.63800049,-159.9949951
AIP,India,31.4338,75.758797
AIR,Brazil,-10.188278,-59.457273
AIS,Kiribati,-2.616110086,176.8029938
AIT,Cook Islands,-18.83090019,-159.7640076
AIU,Cook Islands,-19.96780014,-158.1190033
AIZ,United States,38.09600067,-92.54949951
AJA,France,41.92359924,8.802920341
AJF,Saudi Arabia,29.78510094,40.09999847
AJI,Turkey,39.65454102,43.02597809
AJK,Iran,34.13809967,49.84730148
AJL,India,23.84059906,92.61969757
AJN,Comoros,-12.13169956,44.43030167
AJR,Sweden,65.59030151,19.28190041
AJU,Brazil,-10.98400021,-37.07030106
AJY,Niger,16.9659996,8.000109673
AKA,China,32.708099,108.931
AKB,United States,52.22029877,-174.2059937
AKC,United States,41.03749847,-81.46690369
AKD,India,20.698999,77.058601
AKF,Libya,24.17869949,23.31399918
AKH,Saudi Arabia,24.06270027,47.58050156
AKI,United States,60.9029007,-161.2310028
AKJ,Japan,43.67079926,142.4470062
AKK,United States,56.93870163,-154.1829987
AKL,New Zealand,-37.0080986,174.7920074
AKN,United States,58.67679977,-156.6490021
AKO,United States,40.17559814,-103.2220001
AKP,United States,68.13359833,-151.7429962
AKR,Nigeria,7.246739864,5.301010132
AKS,Solomon Islands,-8.70257,160.682007
AKT,Cyprus,34.590401,32.9879
AKU,China,41.262501,80.291702
AKV,Canada,60.8185997,-78.14859772
AKW,Iran,30.7444,49.6772
AKX,Kazakhstan,50.2458,57.206699
AKY,Burma,20.13269997,92.87259674
ALA,Kazakhstan,43.35210037,77.04049683
ALB,United States,42.74829865,-73.80169678
ALC,Spain,38.28219986,-0.5581560135
ALE,United States,30.38419914,-103.6839981
ALF,Norway,69.97609711,23.37170029
ALG,Algeria,36.69100189,3.215409994
ALH,Australia,-34.94329834,117.8089981
ALI,United States,27.74090004,-98.02690125
ALJ,South Africa,-28.575001,16.5333
ALL,Italy,44.050598,8.12743
ALM,United States,32.83990097,-105.9909973
ALN,United States,38.89030075,-90.04599762
ALO,United States,42.55709839,-92.40029907
ALP,Syria,36.18069839,37.22439957
ALR,New Zealand,-45.21170044,169.3730011
ALS,United States,37.434898,-105.866997
ALU,Somalia,11.9582,50.748
ALW,United States,46.09489822,-118.288002
ALX,United States,32.91469955,-85.96299744
ALY,Egypt,31.18390083,29.94890022
AMA,United States,35.219398,-101.706001
AMB,Madagascar,-13.18840027,48.98799896
AMC,Chad,11.0340004,20.27400017
AMD,India,23.07719994,72.63469696
AMH,Ethiopia,6.039390087,37.59049988
AMI,Indonesia,-8.560709953,116.0950012
AMM,Jordan,31.72260094,35.99319839
AMN,Canada,43.32210159,-84.68800354
AMQ,Indonesia,-3.710259914,128.0890045
AMS,Netherlands,52.308601,4.76389
AMT,Australia,-26.10829926,131.2070007
AMV,Russia,69.76329803,61.5564003
AMZ,New Zealand,-37.02970123,174.9730072
ANB,United States,33.5882,-85.8581
ANC,United States,61.17440033,-149.9960022
AND,United States,34.49459839,-82.70939636
ANE,France,47.560299,-0.312222
ANF,Chile,-23.444501,-70.445099
ANG,France,45.72919846,0.2214560062
ANI,United States,61.58160019,-159.5429993
ANK,Turkey,39.94979858,32.68859863
ANM,Madagascar,-14.99940014,50.32020187
ANN,United States,55.04240036,-131.5720062
ANP,United States,38.942902,-76.568398
ANQ,United States,41.639702,-85.083504
ANR,Belgium,51.18939972,4.460279942
ANS,Peru,-13.70639992,-73.35040283
ANU,Antigua and Barbuda,17.1367,-61.792702
ANV,United States,62.646702,-160.190994
ANX,Norway,69.29250336,16.14419937
AOC,Germany,50.981945,12.506389
AOE,Turkey,39.809898,30.5194
AOG,China,41.105301,122.853996
AOH,United States,40.706902,-84.026703
AOI,Italy,43.616299,13.3623
AOJ,Japan,40.73469925,140.6909943
AOK,Greece,35.42139816,27.14599991
AOL,Argentina,-29.6894,-57.1521
AOO,United States,40.29639816,-78.31999969
AOP,Peru,-2.796129942,-76.46659851
AOR,Malaysia,6.189670086,100.3980026
AOT,Italy,45.738499,7.36872
AOU,Laos,14.81471536,106.8216991
APA,United States,39.57009888,-104.848999
APC,United States,38.2132,-122.280998
APF,United States,26.15259933,-81.77529907
APG,United States,39.466202,-76.1688
API,Colombia,4.07607,-73.5627
APK,French Polynesia,-15.5736,-146.414993
APL,Mozambique,-15.10560036,39.28179932
APN,United States,45.0780983,-83.56030273
APO,Colombia,7.81196,-76.7164
APQ,Brazil,-9.775360107,-36.62919998
APT,United States,35.060699,-85.585297
APW,Samoa,-13.82999992,-172.0079956
APZ,Argentina,-38.975498,-70.113602
AQA,Brazil,-21.81200027,-48.13299942
AQB,Guatemala,15.01220036,-91.15059662
AQG,China,30.582199,117.050003
AQI,Saudi Arabia,28.335199,46.125099
AQJ,Jordan,29.61160088,35.01810074
AQP,Peru,-16.34110069,-71.58309937
ARA,United States,30.0378,-91.883904
ARB,United States,42.22299957,-83.74559784
ARC,United States,68.1147,-145.578995
ARD,Indonesia,-8.132340431,124.5970001
ARE,Puerto Rico,18.45000076,-66.6753006
ARH,Russia,64.60030365,40.71670151
ARI,Chile,-18.348499,-70.338699
ARK,Tanzania,-3.367789984,36.63330078
ARM,Australia,-30.52809906,151.6170044
ARN,Sweden,59.65190125,17.91860008
ARR,Argentina,-45.013599,-70.812202
ART,United States,43.9919014,-76.021698
ARU,Brazil,-21.1413002,-50.42470169
ARV,United States,45.92789841,-89.73090363
ARW,Romania,46.17660141,21.26199913
ARY,Australia,-37.30939865,142.9889984
ASA,Eritrea,13.07180023,42.64500046
ASB,Turkmenistan,37.986801,58.361
ASD,Bahamas,24.69790077,-77.79560089
ASE,United States,39.22320175,-106.8690033
ASF,Russia,46.28329849,48.00630188
ASH,United States,42.78170013,-71.51480103
ASI,Saint Helena,-7.9696,-14.3937
ASJ,Japan,28.43059921,129.7129974
ASK,Cote d'Ivoire,6.903170109,-5.365580082
ASM,Eritrea,15.29189968,38.91070175
ASN,United States,33.56990051,-86.05090332
ASO,Ethiopia,10.01850033,34.5862999
ASP,Australia,-23.80669975,133.9019928
ASR,Turkey,38.770401,35.49539948
ASS,South Africa,-24.744165,31.522499
AST,United States,46.15800095,-123.8789978
ASU,Paraguay,-25.23999977,-57.52000046
ASV,Kenya,-2.645050049,37.25310135
ASW,Egypt,23.96439934,32.81999969
ATA,Peru,-9.347439766,-77.5983963
ATB,Sudan,17.71034431,34.05701828
ATC,Bahamas,24.6294,-75.673797
ATD,Solomon Islands,-8.87333,161.011002
ATF,Ecuador,-1.212069988,-78.57460022
ATG,Pakistan,33.86909866,72.40090179
ATH,Greece,37.93640137,23.94449997
ATI,Uruguay,-30.40069962,-56.50790024
ATJ,Madagascar,-19.83922148,47.06371307
ATK,United States,70.46730042,-157.4360046
ATL,United States,33.6367,-84.428101
ATM,Brazil,-3.253910065,-52.25400162
ATO,United States,39.21099854,-82.23139954
ATQ,India,31.70960045,74.79730225
ATR,Mauritania,20.5067997,-13.04319954
ATW,United States,44.2580986,-88.51909637
ATY,United States,44.91400146,-97.15470123
ATZ,Egypt,27.04649925,31.01199913
AUA,Aruba,12.5014,-70.015198
AUC,Colombia,7.06888,-70.7369
AUF,France,47.85020065,3.49710989
AUG,United States,44.3205986,-69.79730225
AUH,United Arab Emirates,24.43300056,54.65110016
AUK,United States,62.68004227,-164.6599274
AUO,United States,32.615101,-85.433998
AUQ,French Polynesia,-9.768790245,-139.0110016
AUR,France,44.89139938,2.421940088
AUS,United States,30.19449997,-97.66989899
AUU,Australia,-13.354067,141.72065
AUW,United States,44.92620087,-89.62660217
AUX,Brazil,-7.22787,-48.240501
AUY,Vanuatu,-20.24920082,169.7709961
AVA,China,26.26055556,105.8733333
AVB,Italy,46.031898,12.596503
AVI,Cuba,22.02709961,-78.78959656
AVK,Mongolia,46.25030136,102.802002
AVL,United States,35.43619919,-82.54180145
AVN,France,43.90729904,4.901830196
AVO,United States,27.59119987,-81.52780151
AVP,United States,41.33850098,-75.7233963
AVR,Portugal,38.883301,-9.0301
AVV,Australia,-38.039398,144.468994
AVW,United States,32.4095993,-111.2180023
AVX,United States,33.4049,-118.416
AWA,Ethiopia,7.066999912,38.5
AWD,Vanuatu,-19.2346,169.6009
AWK,Wake Island,19.28210068,166.6360016
AWZ,Iran,31.33740044,48.76200104
AXA,Anguilla,18.2048,-63.055099
AXD,Greece,40.85589981,25.95630074
AXF,China,38.74831,105.58858
AXJ,Japan,32.482498,130.158997
AXK,Yemen,14.55130005,46.82619858
AXM,Colombia,4.45278,-75.7664
AXN,United States,45.86629868,-95.3946991
AXP,Bahamas,22.44179916,-73.97090149
AXR,French Polynesia,-15.2482996,-146.6170044
AXT,Japan,39.61560059,140.2189941
AXU,Ethiopia,14.14680004,38.77280045
AYK,Kazakhstan,50.3185997,66.95279694
AYO,Paraguay,-27.370554,-56.854064
AYP,Peru,-13.15480042,-74.20439911
AYQ,Australia,-25.1861,130.975998
AYS,United States,31.24909973,-82.39550018
AYT,Turkey,36.898701,30.800501
AYW,Indonesia,-1.1593,132.4633
AZA,United States,33.30780029,-111.6549988
AZD,Iran,31.9048996,54.2765007
AZI,United Arab Emirates,24.42830086,54.45809937
AZN,Uzbekistan,40.72769928,72.29399872
AZO,United States,42.23490143,-85.55210114
AZR,Algeria,27.83760071,-0.1864140034
AZS,Dominican Republic,19.2670002,-69.74199677
BAB,United States,39.13610077,-121.4369965
BAD,United States,32.50180054,-93.66269684
BAF,United States,42.157799,-72.715599
BAG,Philippines,16.37509918,120.6200027
BAH,Bahrain,26.27079964,50.63359833
BAI,Costa Rica,9.163949,-83.330171
BAL,Turkey,37.92900085,41.11660004
BAQ,Colombia,10.8896,-74.7808
BAR,China,19.13824,110.454775
BAS,Solomon Islands,-6.990745,155.886656
BAT,Brazil,-20.58449936,-48.59410095
BAU,Brazil,-22.34499931,-49.05379868
BAV,China,40.56000137,109.9970016
BAX,Russia,53.36380005,83.53849792
BAY,Romania,47.65840149,23.46999931
BAZ,Brazil,-0.981292,-62.919601
BBA,Chile,-45.91609955,-71.6894989
BBC,United States,28.97330093,-95.8635025
BBD,United States,31.17930031,-99.32389832
BBG,Kiribati,3.08583,172.811005
BBH,Germany,54.338253,12.710515
BBI,India,20.24440002,85.81780243
BBJ,Germany,49.945278,6.565
BBK,Botswana,-17.83289909,25.16239929
BBL,Australia,-27.405633,141.809458
BBM,Cambodia,13.09560013,103.223999
BBN,Malaysia,3.733890057,115.4789963
BBO,Somalia,10.38920021,44.94110107
BBP,United Kingdom,50.67810059,-1.109439969
BBQ,Antigua and Barbuda,17.635799,-61.828602
BBR,Guadeloupe,16.01329994,-61.74219894
BBS,United Kingdom,51.32389832,-0.8475000262
BBT,Central African Republic,4.221580029,15.78639984
BBU,Romania,44.50320053,26.10210037
BBX,United States,40.13750076,-75.26509857
BCA,Cuba,20.36529922,-74.5062027
BCD,Philippines,10.7764,123.014999
BCE,United States,37.70640183,-112.1449966
BCH,East Timor,-8.489029884,126.401001
BCI,Australia,-23.56529999,145.3070068
BCL,Costa Rica,10.76869965,-83.58560181
BCM,Romania,46.52190018,26.9102993
BCN,Spain,41.2971,2.07846
BCO,Ethiopia,5.78287,36.562
BCT,United States,26.37849998,-80.10769653
BCU,Nigeria,10.482833,9.744
BCV,Belize,17.269444,-88.776111
BCW,Mozambique,-21.849167,35.436944
BDA,Bermuda,32.36399841,-64.67870331
BDB,Australia,-24.90390015,152.3190002
BDD,Australia,-10.14999962,142.1734
BDE,United States,48.72840118,-94.61219788
BDH,Iran,26.53199959,54.82479858
BDI,Seychelles,-3.72472,55.205299
BDJ,Indonesia,-3.442359924,114.7630005
BDL,United States,41.93889999,-72.68319702
BDM,Turkey,40.31800079,27.97769928
BDN,Pakistan,24.84149933,68.83840179
BDO,Indonesia,-6.900629997,107.5759964
BDP,Nepal,26.57080078,88.07959747
BDQ,India,22.336201,73.226303
BDR,United States,41.16350174,-73.12619781
BDS,Italy,40.6576,17.947001
BDT,Congo (Kinshasa),4.253210068,20.97529984
BDU,Norway,69.05580139,18.54039955
BE2,United Kingdom,54.6178,-5.9017
BEB,United Kingdom,57.48109818,-7.362780094
BEC,United States,37.69449997,-97.21499634
BED,United States,42.47000122,-71.28900146
BEF,Nicaragua,11.99100018,-83.77410126
BEG,Serbia,44.81840134,20.3090992
BEI,Ethiopia,9.386389732,34.52190018
BEJ,Indonesia,2.1555,117.431999
BEK,India,28.42210007,79.45079803
BEL,Brazil,-1.37925005,-48.47629929
BEM,Morocco,32.401895,-6.315905
BEN,Libya,32.09680176,20.26950073
BEO,Australia,-33.0667,151.647995
BEP,India,15.16279984,76.88279724
BEQ,United Kingdom,52.34260178,0.7729390264
BER,Germany,52.3733,13.5064
BES,France,48.44789886,-4.418540001
BET,United States,60.77980042,-161.8379974
BEU,Australia,-24.34609985,139.4600067
BEV,Israel,31.28700066,34.72299957
BEW,Mozambique,-19.79640007,34.9076004
BEX,United Kingdom,51.61640167,-1.095829964
BEY,Lebanon,33.82089996,35.48839951
BEZ,Kiribati,-1.354719996,176.0070038
BFD,United States,41.80310059,-78.64009857
BFE,Germany,51.964722,8.544444
BFF,United States,41.87400055,-103.5960007
BFH,Brazil,-25.40509987,-49.23199844
BFI,United States,47.52999878,-122.302002
BFJ,China,27.267066,105.472097
BFK,United States,39.7016983,-104.7519989
BFL,United States,35.43360138,-119.0569992
BFM,United States,30.62680054,-88.06809998
BFN,South Africa,-29.09269905,26.30240059
BFO,Zimbabwe,-21.008101,31.5786
BFP,United States,40.77249908,-80.3914032
BFS,United Kingdom,54.65750122,-6.215829849
BFT,United States,32.41220093,-80.63439941
BFU,China,32.84773333,117.3202444
BFV,Thailand,15.22949982,103.2529984
BFW,Algeria,35.17179871,-0.5932750106
BFX,Cameroon,5.536920071,10.35459995
BGA,Colombia,7.1265,-73.1848
BGC,Portugal,41.8578,-6.70713
BGD,United States,35.70090103,-101.3939972
BGE,United States,30.9715004,-84.63739777
BGF,Central African Republic,4.398479939,18.51880074
BGG,Turkey,38.85926056,40.59596252
BGI,Barbados,13.07460022,-59.49250031
BGL,Nepal,28.21279907,83.66629791
BGM,United States,42.20869827,-75.97979736
BGN,Russia,68.556602,146.231506
BGO,Norway,60.29339981,5.218140125
BGR,United States,44.80739975,-68.82810211
BGW,Iraq,33.26250076,44.23460007
BGX,Brazil,-31.39049911,-54.11220169
BGY,Italy,45.673901,9.70417
BGZ,Portugal,41.58710098,-8.445139885
BHB,United States,44.45000076,-68.3615036
BHD,United Kingdom,54.61809921,-5.872499943
BHE,New Zealand,-41.5182991,173.8699951
BHG,Honduras,15.7631,-84.543602
BHH,Saudi Arabia,19.9843998,42.6208992
BHI,Argentina,-38.725,-62.1693
BHJ,India,23.28779984,69.67019653
BHK,Uzbekistan,39.77500153,64.48329926
BHM,United States,33.56290054,-86.75350189
BHN,Yemen,14.78199959,45.7201004
BHO,India,23.28750038,77.33740234
BHP,Nepal,27.1473999,87.05079651
BHQ,Australia,-32.00139999,141.4720001
BHR,Nepal,27.678101,84.429398
BHS,Australia,-33.40940094,149.6519928
BHU,India,21.75219917,72.18520355
BHV,Pakistan,29.34810066,71.71800232
BHW,Pakistan,32.05609894,72.9484024
BHX,United Kingdom,52.45389938,-1.748029947
BHY,China,21.5394,109.293999
BHZ,Brazil,-19.8517,-43.9508
BIA,France,42.55270004,9.483730316
BIB,Somalia,3.102220058,43.62860107
BID,United States,41.16809845,-71.57779694
BIF,United States,31.84950066,-106.3799973
BIG,United States,63.99449921,-145.7220001
BIH,United States,37.37310028,-118.3639984
BIK,Indonesia,-1.190019965,136.1080017
BIL,United States,45.80770111,-108.5429993
BIM,Bahamas,25.69989967,-79.26470184
BIN,Afghanistan,34.81700134,67.81700134
BIO,Spain,43.30110168,-2.910609961
BIQ,France,43.4683333,-1.5311111
BIR,Nepal,26.48150063,87.26399994
BIS,United States,46.77270126,-100.7460022
BIU,Iceland,65.64129639,-23.5461998
BIX,United States,30.41040039,-88.92440033
BIY,South Africa,-32.89709854,27.27910042
BJA,Algeria,36.7120018,5.069920063
BJB,Iran,37.49300003,57.30820084
BJC,United States,39.90879822,-105.1169968
BJF,Norway,70.60050201,29.69140053
BJH,Nepal,29.53899956,81.18540192
BJI,United States,47.50939941,-94.93370056
BJL,Gambia,13.3380003,-16.6522007
BJM,Burundi,-3.324019909,29.31850052
BJO,Bolivia,-22.77330017,-64.31289673
BJP,Brazil,-22.979162,-46.537508
BJR,Ethiopia,11.60809994,37.32160187
BJU,Nepal,29.50200081,81.66899872
BJV,Turkey,37.25059891,27.66430092
BJW,Indonesia,-8.70743498,121.0574269
BJX,Mexico,20.9935,-101.481003
BJY,Serbia,44.935299,20.2575
BJZ,Spain,38.8913002,-6.82133007
BKA,Russia,55.61719894,38.06000137
BKB,India,28.07060051,73.2071991
BKC,United States,65.9815979,-161.1490021
BKD,United States,32.71900177,-98.89099884
BKE,United States,44.83729935,-117.8089981
BKG,United States,36.532082,-93.200544
BKH,United States,22.02280045,-159.7850037
BKI,Malaysia,5.937210083,116.0510025
BKK,Thailand,13.68109989,100.7470016
BKL,United States,41.51750183,-81.6832962
BKM,Malaysia,3.973999977,115.6179962
BKO,Mali,12.5335,-7.94994
BKQ,Australia,-24.42779922,145.4290009
BKS,Indonesia,-3.8637,102.338997
BKW,United States,37.78730011,-81.12419891
BKY,Congo (Kinshasa),-2.308979988,28.80879974
BKZ,Tanzania,-1.332,31.8212
BLA,Venezuela,10.111111,-64.692222
BLB,Panama,8.91479,-79.599602
BLE,Sweden,60.42200089,15.51519966
BLF,United States,37.29579926,-81.20770264
BLG,Malaysia,2.650000095,113.7669983
BLH,United States,33.61920166,-114.7170029
BLI,United States,48.7928009,-122.538002
BLJ,Algeria,35.7521019,6.308589935
BLK,United Kingdom,53.77170181,-3.028609991
BLL,Denmark,55.74029922,9.151780128
BLN,Australia,-36.55189896,146.0070038
BLQ,Italy,44.5354,11.2887
BLR,India,13.1979,77.706299
BLT,Australia,-23.60309982,148.8070068
BLV,United States,38.5452,-89.835197
BLZ,Malawi,-15.67910004,34.97399902
BMA,Sweden,59.35440063,17.94169998
BMB,Congo (Kinshasa),2.18278,22.481701
BMC,United States,41.552399,-112.061996
BMD,Madagascar,-19.68670082,44.54190063
BME,Australia,-17.94470024,122.2320023
BMG,United States,39.14599991,-86.61669922
BMI,United States,40.47710037,-88.91590118
BMK,Germany,53.59639,6.709167
BMM,Gabon,2.075639963,11.4932003
BMO,Burma,24.2689991,97.24620056
BMP,Australia,-20.80330086,149.2700043
BMR,Germany,53.72472382,7.373332977
BMT,United States,30.07069969,-94.21579742
BMU,Indonesia,-8.539649963,118.6869965
BMV,Vietnam,12.66829968,108.1200027
BMW,Algeria,21.375,0.9238889813
BMX,United States,59.36119843,-155.2590027
BMY,New Caledonia,-19.72060013,163.6609955
BNA,United States,36.12450027,-86.67819977
BNB,Congo (Kinshasa),-0.2169999927,20.85000038
BNC,Congo (Kinshasa),0.575,29.4739
BND,Iran,27.21829987,56.37779999
BNE,Australia,-27.38419914,153.1170044
BNG,United States,33.92309952,-116.8509979
BNI,Nigeria,6.316979885,5.599500179
BNJ,Germany,50.76889038,7.163332939
BNK,Australia,-28.83390045,153.5619965
BNM,Papua New Guinea,-9.107777778,147.6667222
BNN,Norway,65.46109772,12.21749973
BNO,United States,43.59189987,-118.9550018
BNP,Pakistan,32.9729,70.527901
BNS,Venezuela,8.615,-70.21416667
BNU,Brazil,-26.83060074,-49.09030151
BNX,Bosnia and Herzegovina,44.94139862,17.29750061
